CustomerKey,Full Name,DateFirstPurchase,Customer City,address1,address2,phone,source_system_code,start_date,end_date,is_current
11000,Jon Yang,1/19/2019,Rockhampton,3761 N. 14th St,NULL,1 (11) 500 555-0162,1,09:46.0,NULL,1
11001,Eugene Huang,1/15/2019,Seaford,2243 W St.,NULL,1 (11) 500 555-0110,1,09:46.0,NULL,1
11002,Ruben Torres,1/7/2019,Hobart,5844 Linden Land,NULL,1 (11) 500 555-0184,1,09:46.0,NULL,1
11003,Christy Zhu,12/29/2018,North Ryde,1825 Village Pl.,NULL,1 (11) 500 555-0162,1,09:46.0,NULL,1
11004,Elizabeth Johnson,1/23/2019,Wollongong,7553 Harness Circle,NULL,1 (11) 500 555-0131,1,09:46.0,NULL,1
11005,Julio Ruiz,12/30/2018,East Brisbane,7305 Humphrey Drive,NULL,1 (11) 500 555-0151,1,09:46.0,NULL,1
11006,Janet Alvarez,1/24/2019,Matraville,2612 Berry Dr,NULL,1 (11) 500 555-0184,1,09:46.0,NULL,1
11007,Marco Mehta,1/9/2019,Warrnambool,942 Brook Street,NULL,1 (11) 500 555-0126,1,09:46.0,NULL,1
11008,Rob Verhoff,1/25/2019,Bendigo,624 Peabody Road,NULL,1 (11) 500 555-0164,1,09:46.0,NULL,1
11009,Shannon Carlson,1/27/2019,Hervey Bay,3839 Northgate Road,NULL,1 (11) 500 555-0110,1,09:46.0,NULL,1
11010,Jacquelyn Suarez,1/14/2019,East Brisbane,7800 Corrinne Court,NULL,1 (11) 500 555-0169,1,09:46.0,NULL,1
11011,Curtis Lu,12/30/2018,East Brisbane,1224 Shoenic,NULL,1 (11) 500 555-0117,1,09:46.0,NULL,1
11012,Lauren Walker,3/16/2021,Bremerton,4785 Scott Street,NULL,717-555-0164,1,09:46.0,NULL,1
11013,Ian Jenkins,4/13/2021,Lebanon,7902 Hudson Ave.,NULL,817-555-0185,1,09:46.0,NULL,1
11014,Sydney Bennett,3/23/2021,Redmond,9011 Tank Drive,NULL,431-555-0156,1,09:46.0,NULL,1
11015,Chloe Young,1/18/2021,Burbank,244 Willow Pass Road,NULL,208-555-0142,1,09:46.0,NULL,1
11016,Wyatt Hill,2/9/2021,Imperial Beach,9666 Northridge Ct.,NULL,135-555-0171,1,09:46.0,NULL,1
11017,Shannon Wang,1/12/2019,Sunbury,7330 Saddlehill Lane,NULL,1 (11) 500 555-0195,1,09:46.0,NULL,1
11018,Clarence Rai,1/17/2019,Bendigo,244 Rivewview,NULL,1 (11) 500 555-0137,1,09:46.0,NULL,1
11019,Luke Lal,2/12/2021,Langley,7832 Landing Dr,NULL,262-555-0112,1,09:46.0,NULL,1
11020,Jordan King,12/29/2020,Metchosin,7156 Rose Dr.,NULL,550-555-0163,1,09:46.0,NULL,1
11021,Destiny Wilson,1/23/2021,Beaverton,8148 W. Lake Dr.,NULL,622-555-0158,1,09:46.0,NULL,1
11022,Ethan Zhang,1/20/2021,Bellingham,1769 Nicholas Drive,NULL,589-555-0185,1,09:46.0,NULL,1
11023,Seth Edwards,2/17/2021,Bellflower,4499 Valley Crest,NULL,452-555-0188,1,09:46.0,NULL,1
11024,Russell Xie,6/27/2021,Concord,8734 Oxford Place,NULL,746-555-0186,1,09:46.0,NULL,1
11025,Alejandro Beck,1/6/2019,Hawthorne,2596 Franklin Canyon Road,NULL,1 (11) 500 555-0178,1,09:46.0,NULL,1
11026,Harold Sai,1/23/2019,Goulburn,8211 Leeds Ct.,NULL,1 (11) 500 555-0131,1,09:46.0,NULL,1
11027,Jessie Zhao,1/16/2019,Warrnambool,213 Valencia Place,NULL,1 (11) 500 555-0184,1,09:46.0,NULL,1
11028,Jill Jimenez,1/26/2019,St. Leonards,9111 Rose Ann Ave,NULL,1 (11) 500 555-0116,1,09:46.0,NULL,1
11029,Jimmy Moreno,1/19/2019,Bendigo,6385 Mark Twain,NULL,1 (11) 500 555-0146,1,09:46.0,NULL,1
11030,Bethany Yuan,2/5/2019,Cloverdale,636 Vine Hill Way,NULL,1 (11) 500 555-0182,1,09:46.0,NULL,1
11031,Theresa Ramos,2/1/2019,Matraville,6465 Detroit Ave.,NULL,1 (11) 500 555-0195,1,09:46.0,NULL,1
11032,Denise Stone,2/18/2019,Melbourne,626 Bentley Street,NULL,1 (11) 500 555-0169,1,09:46.0,NULL,1
11033,Jaime Nath,2/15/2019,Milsons Point,5927 Rainbow Dr,NULL,1 (11) 500 555-0137,1,09:46.0,NULL,1
11034,Ebony Gonzalez,2/1/2019,North Sydney,5167 Condor Place,NULL,1 (11) 500 555-0136,1,09:46.0,NULL,1
11035,Wendy Dominguez,2/6/2019,Cranbourne,1873 Mt. Whitney Dr,NULL,1 (11) 500 555-0177,1,09:46.0,NULL,1
11036,Jennifer Russell,1/22/2021,National City,3981 Augustine Drive,NULL,115-555-0183,1,09:46.0,NULL,1
